SFM Code,XML element name (without <>)
\ref,Reference
\ge,Gloss
\gn,IndonesianGloss
\sf,SoundFile
\ph,Phonetic
\ps,Category
\var1,Variant1
\var2,Variant2
\n,Notes
,Pitch
,good_
,white_
,_bad
,_putupstream
,_NEG
,_already
,pig_
,_pig
,machete_
,_water
,OriginalSoundFile
,hm
,waterPitch
,_NEGPitch
,_badPitch
,alreadyPitch
,putupstreamPitch
,_pigPitch
,pig_Pitch
,machete_Pitch
,good_Pitch
,white_Pitch
,Type
,FLExID
